time,WOB,WOB_0,WOB_SP,RPM,RPM_0,RPM_SP,ROP,T,MSE,dMSEdWOB,dMSEdRPM
[s],[kg],[kg],[kg],[rpm],[rpm],[rpm],[m/hr],[Nm],[MPa],[MPa/kg],[MPa/rpm]
0,2000,8000,8000,33.3333333333333,100,100,0.60053717775074,949.975875,261.686601017816,0,0
1,3500,8000,8000,55.5555555555556,100,100,2.79715035620547,2176.54870125,214.780927499294,0,0
2,4625,8000,8000,70.3703703703704,100,100,6.03903976288678,3402.9519825,197.194829216254,0,0
3,5468.75,8000,8000,80.2469135802469,100,100,9.02134629004708,4322.7544434375,191.347809128388,0,0
4,6101.5625,8000,8000,86.8312757201646,100,100,11.4939683258839,5012.60628914062,188.533500550881,0,0
5,6576.171875,8000,8000,91.2208504801097,100,100,13.4400125259227,5529.99517341797,186.937475056191,0,0
6,6932.12890625,8000,8000,94.1472336534065,100,100,14.927755581151,5918.03683662598,185.945731742963,0,0
7,7199.0966796875,8000,8000,96.0981557689377,100,100,16.0459485375843,6209.06808403198,185.293462753297,0,0
8,7399.32250976563,8000,8000,97.3987705126251,100,100,16.8779732290236,6427.34151958649,184.848039930016,0,0
9,7549.49188232422,8000,8000,98.2658470084167,100,100,17.4934731623991,6591.04659625236,184.535905965698,0,0
10,7662.11891174316,8000,8000,98.8438980056112,100,100,17.9473664383212,6713.82540375177,184.313150977654,0,0
11,7746.58918380737,8000,8000,99.2292653370741,100,100,18.2816056372032,6805.90950937633,184.152087315267,0,0
12,7809.94188785553,8000,8000,99.4861768913827,100,100,18.5276513766648,6874.97258859475,184.034517142404,0,0
13,7857.45641589165,8000,8000,99.6574512609218,100,100,18.7088399976312,6926.76989800856,183.948095464216,0,0
14,7893.09231191874,8000,8000,99.7716341739479,100,100,18.8423727190211,6965.61788006892,183.884242770736,0,0
15,7919.81923393905,8000,8000,99.8477561159653,100,100,18.9408856195493,6994.75386661419,183.836885357993,0,0
16,7939.86442545429,8000,8000,99.8985040773102,100,100,19.013647129124,7016.60585652314,183.801662522965,0,0
17,7954.89831909072,8000,8000,99.9323360515401,100,100,19.067453448018,7032.99484895486,183.775409764522,0,0
18,7966.17373931804,8000,8000,99.9548907010267,100,100,19.1072902936274,7045.28659327864,183.755811945729,0,0
19,7974.63030448853,8000,8000,99.9699271340178,100,100,19.1368186564423,7054.50540152148,183.741164895516,0,0
20,7980.9727283664,8000,8000,99.9799514226786,100,100,19.1587300764496,7061.41950770361,183.730208348087,0,0
21,7985.7295462748,8000,8000,99.9866342817857,100,100,19.1750060711312,7066.60508734021,183.722007051921,0,0
22,7989.2971597061,8000,8000,99.9910895211905,100,100,19.1871075191326,7070.49427206766,183.715865122304,0,0
23,7991.97286977957,8000,8000,99.9940596807936,100,100,19.1961129892302,7073.41116061324,183.711263752315,0,0
24,7993.97965233468,8000,8000,99.9960397871958,100,100,19.2028198892525,7075.59882702243,183.707815576892,0,0
25,7995.48473925101,8000,8000,99.9973598581305,100,100,19.2078185332611,7077.23957682932,183.705231047984,0,0
26,7996.61355443826,8000,8000,99.9982399054203,100,100,19.2115464642751,7078.47013918449,183.703293552113,0,0
27,7997.46016582869,8000,8000,99.9988266036136,100,100,19.2143283622136,7079.39306095087,183.701840936625,0,0
28,7998.09512437152,8000,8000,99.9992177357424,100,100,19.2164054109561,7080.08525227565,183.700751759747,0,0
29,7998.57134327864,8000,8000,99.9994784904949,100,100,19.2179569437903,7080.60439576924,183.699935037201,0,0
30,7998.92850745898,8000,8000,99.9996523269966,100,100,19.21911642231,7080.99375338943,183.699322585333,0,0
31,7999.19638059424,8000,8000,99.9997682179977,100,100,19.2199832494837,7081.28577160457,183.698863297072,0,0
32,7999.39728544568,8000,8000,99.9998454786652,100,100,19.2206315148972,7081.50478526593,183.698518859357,0,0
33,7999.54796408426,8000,8000,99.9998969857768,100,100,19.2211164770682,7081.66904551195,183.698260547089,0,0
34,7999.66097306319,8000,8000,99.9999313238512,100,100,19.2214793739812,7081.79224069646,183.698066821899,0,0
35,7999.7457297974,8000,8000,99.9999542159008,100,100,19.2217509967948,7081.88463708485,183.697921533073,0,0
36,7999.80929734805,8000,8000,99.9999694772672,100,100,19.2219543472935,7081.95393437613,183.697812569305,0,0
37,7999.85697301103,8000,8000,99.9999796515115,100,100,19.2221066157446,7082.0059073446,183.697730848082,0,0
38,7999.89272975828,8000,8000,99.999986434341,100,100,19.2222206541267,7082.04488707095,183.697669558067,0,0
39,7999.91954731871,8000,8000,99.9999909562273,100,100,19.2223060742719,7082.07412186571,183.697623591062,0,0
40,7999.93966048903,8000,8000,99.9999939708182,100,100,19.2223700669514,7082.09604796178,183.697589116095,0,0
41,7999.95474536677,8000,8000,99.9999959805455,100,100,19.2224180131737,7082.11249253384,183.697563260029,0,0
42,7999.96605902508,8000,8000,99.9999973203636,100,100,19.2224539406485,7082.12482596288,183.697543868071,0,0
43,7999.97454426881,8000,8000,99.9999982135758,100,100,19.222480864793,7082.13407603466,183.697529324152,0,0
44,7999.98090820161,8000,8000,99.9999988090505,100,100,19.2225010435935,7082.14101358849,183.697518416242,0,0
45,7999.98568115121,8000,8000,99.9999992060337,100,100,19.2225161681553,7082.14621675387,183.697510235326,0,0
46,7999.9892608634,8000,8000,99.9999994706891,100,100,19.2225275052176,7082.1501191279,183.697504099647,0,0
47,7999.99194564755,8000,8000,99.9999996471261,100,100,19.2225360037748,7082.15304590843,183.697499497894,0,0
48,7999.99395923566,8000,8000,99.9999997647507,100,100,19.2225423748665,7082.15524099382,183.697496046581,0,0
49,7999.99546942675,8000,8000,99.9999998431671,100,100,19.222547151301,7082.15688730786,183.697493458099,0,0
50,7999.99660207006,8000,8000,99.9999998954448,100,100,19.2225507323708,7082.1581220434,183.697491516737,0,0
51,7999.99745155255,8000,8000,99.9999999302965,100,100,19.2225534173357,7082.15904809505,183.697490060717,0,0
52,7999.99808866441,8000,8000,99.999999953531,100,100,19.2225554305011,7082.15974263379,183.697488968702,0,0
53,7999.99856649831,8000,8000,99.9999999690207,100,100,19.222556940003,7082.16026353784,183.697488149691,0,0
54,7999.99892487373,8000,8000,99.9999999793471,100,100,19.2225580718813,7082.16065421588,183.697487535433,0,0
55,7999.9991936553,8000,8000,99.9999999862314,100,100,19.2225589206246,7082.16094722441,183.697487074739,0,0
56,7999.99939524147,8000,8000,99.9999999908209,100,100,19.2225595570718,7082.16116698081,183.697486729219,0,0
57,7999.99954643111,8000,8000,99.9999999938806,100,100,19.2225600343336,7082.16133179811,183.697486470079,0,0
58,7999.99965982333,8000,8000,99.9999999959204,100,100,19.222560392231,7082.16145541108,183.697486275724,0,0
59,7999.9997448675,8000,8000,99.9999999972803,100,100,19.2225606606214,7082.16154812081,183.697486129958,0,0
60,7999.99980865062,8000,8200,99.9999999981869,100,102,19.2225608618924,7082.16161765311,183.697486020633,0,0
61,8049.99985648797,8000,8200,100.666666665458,100,102,19.5094033688036,7136.66848230233,183.612535160152,0,0
62,8087.49989236598,8000,8200,101.111111110305,100,102,19.7150821464104,7177.54863078925,183.549791906071,0,0
63,8115.62491927448,8000,8200,101.40740740687,100,102,19.8627764259642,7208.20874215444,183.503269875599,0,0
64,8136.71868945586,8000,8200,101.604938271247,100,102,19.9690392322286,7231.20382567833,183.468675331256,0,0
65,8152.5390170919,8000,8200,101.736625514165,100,102,20.0456653841762,7248.45013832125,183.442894734896,0,0
66,8164.40426281892,8000,8200,101.824417009443,100,102,20.1010548543947,7261.38487280343,183.423651551141,0,0
67,8173.30319711419,8000,8200,101.882944672962,100,102,20.1411937736097,7271.08592366508,183.409270758745,0,0
68,8179.97739783564,8000,8200,101.921963115308,100,102,20.1703542969111,7278.36171181131,183.398514060006,0,0
69,8184.98304837673,8000,8200,101.947975410205,100,102,20.1915914734089,7283.81855292098,183.390462736458,0,0
70,8188.73728628255,8000,8200,101.965316940137,100,102,20.2070951591774,7287.91118375324,183.384433334206,0,0
71,8191.55296471191,8000,8200,101.976877960091,100,102,20.2184390994575,7290.98065687743,183.37991638646,0,0
72,8193.66472353393,8000,8200,101.984585306728,100,102,20.226757325482,7293.28276172057,183.376531542655,0,0
73,8195.24854265045,8000,8200,101.989723537818,100,102,20.2328692522992,7295.00934035292,183.373994520824,0,0
74,8196.43640698784,8000,8200,101.993149025212,100,102,20.2373685739894,7296.3042743272,183.372092659947,0,0
75,8197.32730524088,8000,8200,101.995432683475,100,102,20.2406865854974,7297.2754748079,183.370666773334,0,0
76,8197.99547893066,8000,8200,101.996955122317,100,102,20.2431374088832,7298.00387516842,183.369597644588,0,0
77,8198.49660919799,8000,8200,101.997970081544,100,102,20.2449503868896,7298.55017543882,183.36879595897,0,0
78,8198.8724568985,8000,8200,101.99864672103,100,102,20.2462933526878,7298.95990064161,183.368194785265,0,0
79,8199.15434267387,8000,8200,101.99909781402,100,102,20.2472893945564,7299.26719454371,183.367743955887,0,0
80,8199.3657570054,8000,8200,101.99939854268,100,102,20.2480289689665,7299.49766497028,183.367405862482,0,0
81,8199.52431775405,8000,8200,101.999599028453,100,102,20.2485786774444,7299.67051779021,183.36715230853,0,0
82,8199.64323831554,8000,8200,101.999732685635,100,102,20.2489876434151,7299.80015740516,183.366962152122,0,0
83,8199.73242873665,8000,8200,101.999821790424,100,102,20.2492921573842,7299.89738711637,183.36681953991,0,0
84,8199.79932155249,8000,8200,101.999881193616,100,102,20.2495190690631,7299.97030939978,183.366712583616,0,0
85,8199.84949116437,8000,8200,101.999920795744,100,102,20.2496882702276,7300.02500111233,183.366632368007,0,0
86,8199.88711837328,8000,8200,101.999947197163,100,102,20.2498145160066,7300.06601989675,183.366572207207,0,0
87,8199.91533877996,8000,8200,101.999964798108,100,102,20.2499087635957,7300.09678398506,183.366527087117,0,0
88,8199.93650408497,8000,8200,101.999976532072,100,102,20.2499791581161,7300.1198570513,183.366493247336,0,0
89,8199.95237806373,8000,8200,101.999984354715,100,98,20.2500317598883,7300.13716185097,183.366467867662,0,0
90,8199.9642835478,8000,8200,100.666656236477,100,98,19.9853642432085,7300.15014045073,183.366448832997,0,0
91,8199.97321266085,8000,8200,99.7777708243177,100,98,19.8089217970403,7300.15987440055,183.36643455705,0,0
92,8199.97990949564,8000,8200,99.1851805495451,100,98,19.6912955484277,7300.16717486291,183.366423850118,0,0
93,8199.98493212173,8000,8200,98.7901203663634,100,98,19.6128796485368,7300.17265020968,183.366415819935,0,0
94,8199.98869909129,8000,8200,98.526746910909,100,98,19.5606036126106,7300.17675671976,183.366409797307,0,0
95,8199.99152431847,8000,8200,98.3511646072726,100,98,19.525753860634,7300.17983660232,183.366405280341,0,0
96,8199.99364323885,8000,8200,98.2341097381818,100,98,19.50252140445,7300.18214651424,183.366401892619,0,0
97,8199.99523242914,8000,8200,98.1560731587878,100,98,19.4870336380878,7300.18387894818,183.36639935183,0,0
98,8199.99642432186,8000,8200,98.1040487725252,100,98,19.4767088657882,7300.18517827364,183.366397446238,0,0
