time,WOB,WOB_0,WOB_SP,RPM,RPM_0,RPM_SP,ROP,T,MSE,dMSEdWOB,dMSEdRPM
[s],[kg],[kg],[kg],[rpm],[rpm],[rpm],[m/hr],[Nm],[MPa],[MPa/kg],[MPa/rpm]
0,3250,13000,13000,30,90,90,1.2739996786116,1904.01463875,222.711304634264,0,0
1,5687.5,13000,13000,50,90,90,5.96583239595051,4561.221748125,190.265432940766,0,0
2,7515.625,13000,13000,63.3333333333333,90,90,11.2070956532219,6554.12708015625,184.604750613812,0,0
3,8886.71875,13000,13000,72.2222222222222,90,90,15.9020522825272,8048.80607917969,182.385144151052,0,0
4,9915.0390625,13000,13000,78.1481481481481,90,90,19.7404842321607,9169.81532844727,181.258713544553,0,0
5,10686.279296875,13000,13000,82.0987654320988,90,90,22.7347220228656,10010.5722653979,180.60736958969,0,0
6,11264.7094726563,13000,13000,84.7325102880658,90,90,25.0093116732359,10641.139968111,180.200048722812,0,0
7,11698.5321044922,13000,13000,86.4883401920439,90,90,26.7105124934187,11114.0657451457,179.931910945014,0,0
8,12023.8990783691,13000,13000,87.6588934613626,90,90,27.9712443522481,11468.7600779218,179.749041687203,0,0
9,12267.9243087769,13000,13000,88.4392623075751,90,90,28.9006768365427,11734.7808275038,179.621153669045,0,0
10,12450.9432315826,13000,13000,88.95950820505,90,90,29.5840049737342,11934.2963896904,179.530076900665,0,0
11,12588.207423687,13000,13000,89.3063388033667,90,90,30.0858359495359,12083.9330613303,179.464347640499,0,0
12,12691.1555677652,13000,13000,89.5375592022445,90,90,30.4543486084565,12196.1605650602,179.416444100902,0,0
13,12768.3666758239,13000,13000,89.6917061348296,90,90,30.7251154198881,12280.3311928577,179.38128923615,0,0
14,12826.2750068679,13000,13000,89.7944707565531,90,90,30.9240183635627,12343.4591637057,179.356725302084,0,0
15,12869.706255151,13000,13000,89.8629805043687,90,90,31.0681469163152,12390.8051418418,179.351869890872,0,0
16,12902.2796913632,13000,13000,89.9086536695792,90,90,31.1726158884774,12426.3146254439,179.35836185855,0,0
17,12926.7097685224,13000,13000,89.9391024463861,90,90,31.2487239526052,12452.9467381454,179.368797035293,0,0
18,12945.0323263918,13000,13000,89.9594016309241,90,90,31.3044080605432,12472.9208226715,179.379686305774,0,0
19,12958.7742447939,13000,13000,89.972934420616,90,90,31.3452955990138,12487.9013860662,179.38954024431,0,0
20,12969.0806835954,13000,13000,89.9819562804107,90,90,31.3754089393355,12499.1368086121,179.397860061831,0,0
21,12976.8105126965,13000,13000,89.9879708536071,90,90,31.3976433769511,12507.5633755216,179.4046116789,0,0
22,12982.6078845224,13000,13000,89.9919805690714,90,90,31.4140954031152,12513.8833007037,179.409956869116,0,0
23,12986.9559133918,13000,13000,89.9946537127143,90,90,31.4262907856016,12518.6232445903,179.414120293121,0,0
24,12990.2169350439,13000,13000,89.9964358084762,90,90,31.4353446880235,12522.1782025052,179.417327471107,0,0
25,12992.6627012829,13000,13000,89.9976238723175,90,90,31.442075111997,12524.8444209414,179.419779011117,0,0
26,12994.4970259622,13000,13000,89.9984159148783,90,90,31.4470839124086,12526.8440847686,179.42164272297,0,0
27,12995.8727694716,13000,13000,89.9989439432522,90,90,31.4508150536183,12528.3438326389,179.423054022367,0,0
28,12996.9045771037,13000,13000,89.9992959621681,90,90,31.4535967470734,12529.4686435417,179.424119725742,0,0
29,12997.6784328278,13000,13000,89.9995306414454,90,90,31.4556720831018,12530.3122517188,179.424922826453,0,0
30,12998.2588246208,13000,13000,89.9996870942969,90,90,31.4572213936051,12530.9449578516,179.42552714349,0,0
31,12998.6941184656,13000,13000,89.999791396198,90,90,31.4583786371043,12531.4194874512,179.425981396941,0,0
32,12999.0205888492,13000,13000,89.9998609307986,90,90,31.4592434410225,12531.7753846509,179.426322589378,0,0
33,12999.2654416369,13000,13000,89.9999072871991,90,90,31.4598899755066,12532.0423075507,179.426578720661,0,0
34,12999.4490812277,13000,13000,89.9999381914661,90,90,31.4603735071487,12532.2424997255,179.426770922179,0,0
35,12999.5868109208,13000,13000,89.9999587943107,90,90,31.4607352485452,12532.3926438566,179.426915111222,0,0
36,12999.6901081906,13000,13000,89.9999725295405,90,90,31.4610059527814,12532.505251955,179.427023260992,0,0
37,12999.7675811429,13000,13000,89.9999816863603,90,90,31.461208581482,12532.5897080287,179.427104368948,0,0
38,12999.8256858572,13000,13000,89.9999877909069,90,90,31.4613602876625,12532.653050084,179.427165191556,0,0
39,12999.8692643929,13000,13000,89.9999918606046,90,90,31.4614738909483,12532.7005566255,179.427210799882,0,0
40,12999.9019482947,13000,13000,89.9999945737364,90,90,31.4615589761536,12532.7361865317,179.427244998656,0,0
41,12999.926461221,13000,13000,89.9999963824909,90,90,31.4616227120578,12532.7629089612,179.427270641793,0,0
42,12999.9448459158,13000,13000,89.9999975883273,90,90,31.4616704620833,12532.7829507834,179.427289869641,0,0
43,12999.9586344368,13000,13000,89.9999983922182,90,90,31.4617062400554,12532.7979821501,179.427304287219,0,0
44,12999.9689758276,13000,13000,89.9999989281455,90,90,31.4617330505337,12532.8092556751,179.427315098027,0,0
45,12999.9767318707,13000,13000,89.9999992854303,90,90,31.461753143076,12532.8177108188,179.427323204453,0,0
46,12999.982548903,13000,13000,89.9999995236202,90,90,31.4617682022814,12532.8240521766,179.427329283098,0,0
47,12999.9869116773,13000,13000,89.9999996824135,90,90,31.46177948989,12532.8288081949,179.427333841269,0,0
48,12999.990183758,13000,13000,89.9999997882756,90,90,31.4617879510693,12532.8323752087,179.427337259338,0,0
49,12999.9926378185,13000,13000,89.9999998588504,90,90,31.4617942939374,12532.835050469,179.427339822508,0,0
50,12999.9944783638,13000,13000,89.9999999059003,90,90,31.4617990490785,12532.8370569143,179.427341744624,0,0
51,12999.9958587729,13000,13000,89.9999999372668,90,90,31.4618026140949,12532.8385617482,179.427343186035,0,0
52,12999.9968940797,13000,13000,89.9999999581779,90,90,31.4618052869646,12532.8396903737,179.427344266974,0,0
53,12999.9976705597,13000,13000,89.9999999721186,90,90,31.4618072910219,12532.8405368427,179.427345077597,0,0
54,12999.9982529198,13000,13000,89.9999999814124,90,90,31.4618087936684,12532.8411716946,179.427345685511,0,0
55,12999.9986896899,13000,13000,89.9999999876083,90,90,31.461809920389,12532.8416478334,179.427346141409,0,0
56,12999.9990172674,13000,13000,89.9999999917388,90,90,31.4618107652532,12532.8420049376,179.427346483309,0,0
57,12999.9992629505,13000,13000,89.9999999944926,90,90,31.461811398784,12532.8422727657,179.427346739717,0,0
58,12999.9994472129,13000,13000,89.9999999963284,90,90,31.4618118738538,12532.8424736368,179.427346932012,0,0
59,12999.9995854097,13000,13000,89.9999999975523,90,90,31.461812230104,12532.8426242901,179.427347076226,0,0
