time,WOB,WOB_0,WOB_SP,RPM,RPM_0,RPM_SP,ROP,T,MSE,dMSEdWOB,dMSEdRPM
[s],[kg],[kg],[kg],[rpm],[rpm],[rpm],[m/hr],[Nm],[MPa],[MPa/kg],[MPa/rpm]
85,8199.84949116437,8000,8200,61.9999207957439,60,62,12.3086278802778,7300.02500111233,183.366632368007,0,0
86,8199.88711837328,8000,8200,61.9999471971626,60,62,12.3087066733273,7300.06601989675,183.366572207207,0,0
87,8199.91533877996,8000,8200,61.9999647981084,60,62,12.3087653313692,7300.09678398506,183.366527087117,0,0
88,8199.93650408497,8000,8200,61.9999765320723,60,62,12.3088090337293,7300.1198570513,183.366493247336,0,0
89,8199.95237806373,8000,8200,61.9999843547148,60,58,12.3088416163813,7300.13716185097,183.366467867662,0,0
90,8199.9642835478,8000,8200,60.6666562364766,60,58,12.0441590853613,7300.15014045073,183.366448832997,0,0
91,8199.97321266085,8000,8200,59.7777708243177,60,58,11.867705378438,7300.15987440055,183.36643455705,0,0
92,8199.97990949564,8000,8200,59.1851805495451,60,58,11.750070684259,7300.16717486291,183.366423850118,0,0
93,8199.98493212173,8000,8200,58.7901203663634,60,58,11.6716484501933,7300.17265020968,183.366415819935,0,0
94,8199.98869909129,8000,8200,58.5267469109089,60,58,11.6193676636361,7300.17675671976,183.366409797307,0,0
95,8199.99152431847,8000,8200,58.3511646072726,60,58,11.5845143486861,7300.17983660232,183.366405280341,0,0
96,8199.99364323885,8000,8200,58.2341097381818,60,58,11.5612792202722,7300.18214651424,183.366401892619,0,0
97,8199.99523242914,8000,8200,58.1560731587878,60,58,11.5457894497375,7300.18387894818,183.36639935183,0,0
98,8199.99642432186,8000,8200,58.1040487725252,60,58,11.5354631743085,7300.18517827364,183.366397446238,0,0
99,8199.99731824139,8000,8200,58.0693658483502,60,58,11.5285791703623,7300.18615276773,183.366396017045,0,0
100,8199.99798868104,8000,8200,58.0462438989001,60,58,11.5239899696418,7300.1868836383,183.366394945151,0,0
